Anther,Sepal,Ovary,Pod,Stigma,Flower,Leaf
GLYMA_17G174900,GLYMA_02G180500,GLYMA_06G324000,GLYMA_08G228400,GLYMA_01G030900,GLYMA_07G006300,GLYMA_09G081800
GLYMA_04G183400,GLYMA_03G150900,GLYMA_09G185300,GLYMA_12G008300,GLYMA_01G188900,GLYMA_11G124100,GLYMA_08G074000
GLYMA_06G007400,GLYMA_09G199000,GLYMA_17G032300,GLYMA_04G194100,GLYMA_05G204400,GLYMA_05G195700,GLYMA_18G005800
GLYMA_09G226200,GLYMA_17G032200,GLYMA_05G149200,GLYMA_20G089400,GLYMA_15G073500,GLYMA_11G113100,GLYMA_03G251800
GLYMA_10G068700,GLYMA_13G070100,GLYMA_09G001900,GLYMA_08G126800,GLYMA_04G219100,GLYMA_20G170700,GLYMA_12G053200
GLYMA_02G141700,GLYMA_04G243600,GLYMA_09G083700,GLYMA_09G002300,GLYMA_16G104600,GLYMA_07G025700,GLYMA_20G224500
GLYMA_11G155600,GLYMA_15G107100,GLYMA_11G151400,GLYMA_09G156700,GLYMA_10G083700,GLYMA_20G057600,GLYMA_15G136200
GLYMA_01G238700,GLYMA_U001900,GLYMA_04G218300,GLYMA_06G168700,GLYMA_06G021600,GLYMA_11G239800,GLYMA_18G095200
GLYMA_17G092200,GLYMA_13G295500,GLYMA_14G124900,GLYMA_18G075200,GLYMA_01G201200,GLYMA_02G023400,GLYMA_04G093600
GLYMA_14G093200,GLYMA_12G040000,GLYMA_08G051100,GLYMA_19G146400,GLYMA_09G129000,GLYMA_13G055200,GLYMA_07G006400
GLYMA_16G113700,GLYMA_02G106700,GLYMA_13G221100,GLYMA_17G002300,GLYMA_11G134700,GLYMA_11G005800,GLYMA_07G214900
GLYMA_03G222900,GLYMA_02G069400,GLYMA_08G036400,GLYMA_U033400,GLYMA_20G224400,GLYMA_10G232200,GLYMA_20G210700
GLYMA_03G259600,GLYMA_08G172100,GLYMA_17G062400,GLYMA_17G194300,GLYMA_13G091900,GLYMA_13G114600,GLYMA_19G100200
GLYMA_13G272500,GLYMA_07G187500,GLYMA_17G084600,GLYMA_20G110000,GLYMA_15G082000,GLYMA_09G277200,GLYMA_04G031900
GLYMA_04G043200,GLYMA_08G320100,GLYMA_13G020600,GLYMA_14G200900,GLYMA_15G018900,GLYMA_06G153700,GLYMA_02G110700
GLYMA_17G238700,GLYMA_03G230600,GLYMA_18G045100,GLYMA_19G191200,GLYMA_06G124800,GLYMA_09G274500,GLYMA_04G000400
GLYMA_12G046400,GLYMA_11G231000,GLYMA_08G237500,GLYMA_08G077800,GLYMA_13G057500,GLYMA_08G173900,GLYMA_10G279900
